username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gaiuspetronius2;2016-11-06 18:05;5;0;"Emma Vigeland has a lot of good points #PodestaEmails32 #HillaryClinton #imWithHer https://www. youtube.com/watch?v=tZVdGK A8-C8 …";;;#PodestaEmails32 #HillaryClinton #imWithHer;"795401707685576704";https://twitter.com/gaiuspetronius2/status/795401707685576704
AmyDugan;2016-11-06 18:59;0;1;"#ImWithHer inn campaign's final days, Clinton gets FBI reprieve _ again https://www. yahoo.com/news/trump-cli nton-different-strategies-shore-votes-074124539--election.html?soc_src=social-sh&soc_trk=tw … via @YahooNews";;@YahooNews;#ImWithHer;"795415457784336384";https://twitter.com/AmyDugan/status/795415457784336384
ava;2016-11-06 10:04;2894;4156;"This is real. Don't let it happen on our watch. Weekend vote today if you can. Tuesday is the big day. #ImWithHer pic.twitter.com/dYFu4cRabl";;;#ImWithHer;"795280608133951489";https://twitter.com/ava/status/795280608133951489
m_eisenmenger;2016-11-06 18:59;6;15;"I spent my day encouraging others to get out the vote this week in Minnesota. And I couldn't feel more empowered @HillaryforMN #ImWithHer pic.twitter.com/QzcRyDQggZ";;@HillaryforMN;#ImWithHer;"795415438113075200";https://twitter.com/m_eisenmenger/status/795415438113075200
athoughtz;2016-11-06 18:59;0;0;"No criminality in Clinton emails- FBI (FBI JUMPED THE GUN) #HillaryClinton #UniteBlue #USA #ImWithHer please share https:// goo.gl/b0LxHp";;;#HillaryClinton #UniteBlue #USA #ImWithHer;"795415419980890112";https://twitter.com/athoughtz/status/795415419980890112
KaliBear2016;2016-11-06 18:59;0;1;"Melania worked illegally in U.S. She is a hypocrite.Christie can't talk about Law or order, #Bridgegate Giuliani & mental health #ImWithHer https:// twitter.com/realdenaldtrum p/status/794751920086937600 …";;;#Bridgegate #ImWithHer;"795415394068463616";https://twitter.com/KaliBear2016/status/795415394068463616
DianaMiller5;2016-11-06 18:59;0;0;"#TheWorldIsWatching #ImWithHer #VoteBlueDownBallot #TrumpLies #DonTheFraud #TraitorTrump pic.twitter.com/Hk2ynD7r6P";;;#TheWorldIsWatching #ImWithHer #VoteBlueDownBallot #TrumpLies #DonTheFraud #TraitorTrump;"795415391732428804";https://twitter.com/DianaMiller5/status/795415391732428804
___Jahi;2016-11-06 18:59;1;2;"My Idol Killing It Per Usual @Beyonce . #ImWithHer #Beyhive pic.twitter.com/aiLyDLdwlS";Columbus, OH;@Beyonce;#ImWithHer #Beyhive;"795415377840898048";https://twitter.com/___Jahi/status/795415377840898048
ExposeCorrupt1;2016-11-06 18:59;2;1;"#imwithher 2 years no hearing. #kidsforcash please don't throw your #liberties away https:// drive.google.com/open?id=0B4lHD ckCxam5NHdPcFgyOUd1Vkk … pic.twitter.com/wYDJAPfF1M";;;#imwithher #kidsforcash #liberties;"795415375609495553";https://twitter.com/ExposeCorrupt1/status/795415375609495553
simplymarcoo;2016-11-06 18:59;17;34;"#ImWithHer #ShesWithUs and we are #StrongerTogether I'm on a quest to get @HillaryClinton to the @WhiteHouse @HFA pic.twitter.com/9MaB60t3O9";August, CA;@HillaryClinton @WhiteHouse @HFA;#ImWithHer #ShesWithUs #StrongerTogether;"795415358521819136";https://twitter.com/simplymarcoo/status/795415358521819136
BhanLiz;2016-11-06 18:59;0;3;". @HillaryClinton How can I vote 4U when you are clearly an anti-carb bigot? So glad Wikileaks saved me from a big mistake Tues #ImWithHer https:// twitter.com/babybacalling/ status/795409659976908800 …";;@HillaryClinton;#ImWithHer;"795415342407413761";https://twitter.com/BhanLiz/status/795415342407413761
roriIZfunny;2016-11-06 18:59;0;2;"FBI Director Comey we are patiently waiting for your resignation! #ImWithHer @JamesComeyFBI";;@JamesComeyFBI;#ImWithHer;"795415336484933632";https://twitter.com/roriIZfunny/status/795415336484933632
JordanB321;2016-11-06 18:59;0;0;"Gonna miss Obama! #imwithher https:// twitter.com/huffpostpol/st atus/795414483162304513 …";;;#imwithher;"795415334517874688";https://twitter.com/JordanB321/status/795415334517874688
REPUBSRFUBAR;2016-11-06 18:59;2;3;"@AlamoOnTheRise I'M A #FLORIDAREPUBLICAN #REPUBLICAN #IMWITHHER I VOTED #HRC";;@AlamoOnTheRise;#FLORIDAREPUBLICAN #REPUBLICAN #IMWITHHER #HRC;"795415321976991744";https://twitter.com/REPUBSRFUBAR/status/795415321976991744
