username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NormaniKordei;2016-01-07 17:42;4735;7360;"https:// twitter.com/touristkordei/ status/685216533170262016 …";;;;"685229939482734592";https://twitter.com/NormaniKordei/status/685229939482734592
harmonizaram;2016-01-07 18:59;0;0;"@NormaniKordei i love you more than anything manibear";;@NormaniKordei;;"685249470800490496";https://twitter.com/harmonizaram/status/685249470800490496
lasbillreif;2016-01-07 18:59;0;1;"#LGBTforHillary #StillFighting #ImWithHer Why Hillary should win the LGBT vote @huffpostblog http://www. huffingtonpost.com/jeza-belle/why -hillary-should-win-the-lgbt-vote_b_8921922.html … via @HuffPostGay";;@huffpostblog @HuffPostGay;#LGBTforHillary #StillFighting #ImWithHer;"685249434762936321";https://twitter.com/lasbillreif/status/685249434762936321
Alejandrocabr97;2016-01-07 18:59;0;0;"#Queen #Commas @normanikordei https://www. instagram.com/p/BAQdLo5v6hv/";;@normanikordei;#Queen #Commas;"685249340428795905";https://twitter.com/Alejandrocabr97/status/685249340428795905
debnamslaur;2016-01-07 18:58;5;0;"Vote #Harmonizers for Best #Shazamily ! Spread the word with #HarmonizersShazam . @NormaniKordei #ShazamYearInReview http:// shz.am/YearInReview";;@NormaniKordei;#Harmonizers #Shazamily #HarmonizersShazam #ShazamYearInReview;"685249286217547780";https://twitter.com/debnamslaur/status/685249286217547780
oxfordmews;2016-01-07 18:58;0;0;"@HillaryClinton See u tomorrow in Palo Alto -better get my pantsuit from the dry cleaner. @CecileRichards wish u could join us #Imwithher";Palo Alto, CA;@HillaryClinton @CecileRichards;#Imwithher;"685249270807531520";https://twitter.com/oxfordmews/status/685249270807531520
HillaryforIA;2016-01-07 18:58;58;69;""In all my life, I've never been able to vote for someone so well-qualified for this job." – @billclinton #ImWithHer pic.twitter.com/cCsTTFuwSA";Dubuque, IA;@billclinton;#ImWithHer;"685249170236637184";https://twitter.com/HillaryforIA/status/685249170236637184
montanabohemian;2016-01-07 18:58;0;0;"My current plan for 2016: - Make #VOTESFORWOMEN sashes. - Wear them. Always. - Fight for #equality . #ImWithHer pic.twitter.com/KhQaiKPJwh";;;#VOTESFORWOMEN #equality #ImWithHer;"685249080579076097";https://twitter.com/montanabohemian/status/685249080579076097
Elephantman01;2016-01-07 18:57;0;0;"@HillaryClinton What this country needs is more lies & sexual predators in the WH. #imwithher @billclinton Vote Hillary!! God bless you";;@HillaryClinton @billclinton;#imwithher;"685249010215579648";https://twitter.com/Elephantman01/status/685249010215579648
CamilaMyzking;2016-01-07 18:57;0;0;"Fifth harmony beautiful @camilacabello97 @dinahjane97 @AllyBrooke @NormaniKordei @LaurenJauregui pic.twitter.com/NfrSWYkbzL";;@camilacabello97 @dinahjane97 @AllyBrooke @NormaniKordei @LaurenJauregui;;"685248927478616064";https://twitter.com/CamilaMyzking/status/685248927478616064
