username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Coalition4Trump;2016-11-05 19:59;1;0;"MT @PatrioticChoice : It’s time for #Trump to #MakeAmericaGreatAgain pic.twitter.com/FoqsNlHdsy #CoalitionForTrump #CrookedHillary #Trump2016";;@PatrioticChoice;#Trump #MakeAmericaGreatAgain #CoalitionForTrump #CrookedHillary #Trump2016;"795052954306822146";https://twitter.com/Coalition4Trump/status/795052954306822146
Leilah_Makes;2016-11-05 19:58;0;1;"@matthaig1 And if you smush it all together, it's a bit like 'MIGRAINE', don't you think? #MakeAmericaGreatAgain";;@matthaig1;#MakeAmericaGreatAgain;"795052728712130561";https://twitter.com/Leilah_Makes/status/795052728712130561
blameocrats;2016-11-05 19:58;1;1;"https:// youtu.be/pm8n9qVIK_8 @realDonaldTrump gave him hope, a job, and taught him how to be a champion in 1980's Harlem. #MakeAmericaGreatAgain";;@realDonaldTrump;#MakeAmericaGreatAgain;"795052704229892097";https://twitter.com/blameocrats/status/795052704229892097
GreeningLorne;2016-11-05 19:58;0;0;"In 2011, Trump said he supported 'amnesty' for some undocumented immigrants #MakeAmericaGreatAgain Trump LIED AGAIN http://www. cnn.com/2016/11/05/pol itics/trump-2011-amnesty/index.html …";;;#MakeAmericaGreatAgain;"795052642237984768";https://twitter.com/GreeningLorne/status/795052642237984768
Manni_syd;2016-11-05 19:57;2;3;"@nytimes VOTE TRUMP #MakeAmericaGreatAgain pic.twitter.com/Gf8srY4rWe";;@nytimes;#MakeAmericaGreatAgain;"795052504291495936";https://twitter.com/Manni_syd/status/795052504291495936
choc576;2016-11-05 19:57;0;1;"#Vote #Vote #Vote #TrumpPence16 #MakeAmericaGreatAgain No matter what the #Polls say #GoOut and #vote https:// twitter.com/pinkpetalz/sta tus/795015457199820800 …";;;#Vote #Vote #Vote #TrumpPence16 #MakeAmericaGreatAgain #Polls #GoOut #vote;"795052500353044480";https://twitter.com/choc576/status/795052500353044480
YoungDems4Trump;2016-11-05 19:57;754;1092;"Bernie Sanders would want us all to #MakeAmericaGreatAgain pic.twitter.com/lrvU3fn2i4";;;#MakeAmericaGreatAgain;"795052334237642753";https://twitter.com/YoungDems4Trump/status/795052334237642753
xo_ashleymariex;2016-11-05 19:56;0;0;"RSBN LIVE Stream: Donald Trump Rally in Reno, NV 11/5/16 https:// youtu.be/aQMUj6ETaNg via @YouTube #TeamTrump #WorldSeries #MakeAmericaGreatAgain";;@YouTube;#TeamTrump #WorldSeries #MakeAmericaGreatAgain;"795052278814298112";https://twitter.com/xo_ashleymariex/status/795052278814298112
Hollywood_4_Me;2016-11-05 19:56;0;0;"Blue States all across America are now TIED! | Amy Moreno http:// truthfeed.com/breaking-blue- states-all-across-america-are-now-tied/34056/ … #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"795052236690706432";https://twitter.com/Hollywood_4_Me/status/795052236690706432
WAforTrump;2016-11-05 19:56;1;1;"@RSBNetwork shows the crowds! Screen shot of one man's iPad in Reno. #MakeAmericaGreatAgain #NV pic.twitter.com/HuiJmpkyrL";;@RSBNetwork;#MakeAmericaGreatAgain #NV;"795052184492613632";https://twitter.com/WAforTrump/status/795052184492613632
watersurf58;2016-11-05 19:56;2;3;"Donald Trump Shows Kindness To A Little Girl @rottymom With Bone Disease #Must Watch #MakeAmericaGreatAgain YouTube https:// m.youtube.com/watch?v=6bY_Qm A9Vu4 …";;@rottymom;#Must #MakeAmericaGreatAgain;"795052101378473988";https://twitter.com/watersurf58/status/795052101378473988
Seth_Perkins_;2016-11-05 19:55;3;2;"#draintheswamp #CrookedHillary #HillarysEmails #MAGA #MakeAmericaGreatAgain #TrumpPence16 #Trump2016 pic.twitter.com/wBhKwczQmi";;;#draintheswamp #CrookedHillary #HillarysEmails #MAGA #MakeAmericaGreatAgain #TrumpPence16 #Trump2016;"795051891399020544";https://twitter.com/Seth_Perkins_/status/795051891399020544
RealDonaldTrumg;2016-11-05 19:55;0;0;"We are in trillions of dollars in debt,losing jobs to Mexico and has had dozens killed in terror attacks.Its time to #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"795051824428568576";https://twitter.com/RealDonaldTrumg/status/795051824428568576
Samborasprynces;2016-11-05 19:54;0;0;"https://www. youtube.com/shared?ci=ZfH_ 1JanbHY … Donald J Trump Rally #3 LIVESTREAMING from Reno on #RSBN #MakeAmericaGreatAgain #TrumpPence16 #AmericaFirst";;;#3 #RSBN #MakeAmericaGreatAgain #TrumpPence16 #AmericaFirst;"795051741939138560";https://twitter.com/Samborasprynces/status/795051741939138560
Cyber_FootPrint;2016-11-05 19:54;0;1;"Hacking Elections is Easy! experts discuss security of U.S. electronic voting #election2016 #makeamericagreatagain https://www. youtube.com/watch?v=HAIod_ 6-wO4 …";;;#election2016 #makeamericagreatagain;"795051645998612480";https://twitter.com/Cyber_FootPrint/status/795051645998612480
ZurulesDestiny;2016-11-05 19:54;0;1;"Don't forget to get out and vote Trump this week! Don't like Killary start WW3!!! #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"795051594438086657";https://twitter.com/ZurulesDestiny/status/795051594438086657
pigfart55555;2016-11-05 19:52;1;1;"@FlipYapTheGrunt #MakeAmericaGreatAgain";;@FlipYapTheGrunt;#MakeAmericaGreatAgain;"795051297045180416";https://twitter.com/pigfart55555/status/795051297045180416
