username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LindaSuhler;2016-05-07 16:42;319;439;""As long as you're going to be thinking anyway, think BIG." -Donald J. Trump #MakeAmericaGreatAgain VOTE #Trump2016 pic.twitter.com/ToagodFmy2";;;#MakeAmericaGreatAgain #Trump2016;"729048856315371520";https://twitter.com/LindaSuhler/status/729048856315371520
CyberManin;2016-05-07 19:59;0;0;"@realDonaldTrump will put Veterans first ! @realDonaldTrump will #MakeAmericaGreatAgain #MakeAmericaFirstAgain https:// twitter.com/MKANTONIO1/sta tus/729016484928864256 …";;@realDonaldTrump @realDonaldTrump;#MakeAmericaGreatAgain #MakeAmericaFirstAgain;"729098310372495360";https://twitter.com/CyberManin/status/729098310372495360
JulietteMonroex;2016-05-07 19:58;0;0;"Vote George Yang for CA US Senate vote Republican #TrumpTrain #AlwaysTrump #trump2016 #MakeAmericaGreatAgain ... http:// fb.me/7lErDDti5";;;#TrumpTrain #AlwaysTrump #trump2016 #MakeAmericaGreatAgain;"729098229225136129";https://twitter.com/JulietteMonroex/status/729098229225136129
POLITICAL_Jeff;2016-05-07 19:58;4;2;"#American 's #MakeAmericaGreatAgain Must Vote #AlwaysTRUMP Don't Believe me Just Watch #Nebraska #WestVirginia https:// twitter.com/TheThreeFuries /status/729097011618668546 …";;;#American #MakeAmericaGreatAgain #AlwaysTRUMP #Nebraska #WestVirginia;"729098218945007616";https://twitter.com/POLITICAL_Jeff/status/729098218945007616
RichardWeaving;2016-05-07 19:58;3;2;"@realDonaldTrump TRUMP The Man With A Plan To #MakeAmericaGreatAgain http://www. giphy.com/gifs/3oEjHTXZJ yRz5RWleE …";;@realDonaldTrump;#MakeAmericaGreatAgain;"729098196870402048";https://twitter.com/RichardWeaving/status/729098196870402048
THEBryanSternik;2016-05-07 19:57;13;18;"This man will #MakeAmericaGreatAgain pic.twitter.com/Y2spK168Xt";Cleveland, OH;;#MakeAmericaGreatAgain;"729097912223936514";https://twitter.com/THEBryanSternik/status/729097912223936514
Danno_a_Jyd;2016-05-07 19:57;2;1;"So you are a proud Soros communist @budb66 ? #LibFail #MakeAmericaGreatAgain #NeverTrump #SorosPlant #LiarOfTheYEAR https:// twitter.com/Danno_a_Jyd/st atus/729088572716941313 …";;@budb66;#LibFail #MakeAmericaGreatAgain #NeverTrump #SorosPlant #LiarOfTheYEAR;"729097856162902016";https://twitter.com/Danno_a_Jyd/status/729097856162902016
haywood_chan8;2016-05-07 19:57;0;0;"#Trump is a real person now as he was 30 years ago -America First. He can #MakeAmericaGreatAgain https:// youtu.be/TONhd9xfjeM";;;#Trump #MakeAmericaGreatAgain;"729097834696347648";https://twitter.com/haywood_chan8/status/729097834696347648
makingmoney541;2016-05-07 19:55;1;1;"THANK YOU WASHINGTON! #Lynden #Spokane #MakeAmericaGreatAgain #Trump2016 #WAprimary pic.twitter.com/2Mj5zn0suu";;;#Lynden #Spokane #MakeAmericaGreatAgain #Trump2016 #WAprimary;"729097456139444225";https://twitter.com/makingmoney541/status/729097456139444225
RealityChick01;2016-05-07 19:55;1;0;"Be afraid #HillaryClinton be very afraid! This is a movement to #MakeAmericaGreatAgain #Trump2016 #Yuge https:// twitter.com/alexrozierk5/s tatus/729016905667743744 …";;;#HillaryClinton #MakeAmericaGreatAgain #Trump2016 #Yuge;"729097428285030400";https://twitter.com/RealityChick01/status/729097428285030400
cog_dissident;2016-05-07 19:55;0;1;""putting @realDonaldTrump in the White House wouldn't #MakeAmericaGreatAgain , It would create an economic cataclysm" http:// crooksandliars.com/2016/05/presid ent-trump-promises-debt-default-and …";;@realDonaldTrump;#MakeAmericaGreatAgain;"729097387285811204";https://twitter.com/cog_dissident/status/729097387285811204
SSbridges51;2016-05-07 19:55;2;2;"#TrumpRally will give you back that American Spirit that Obama took from us! #Trump2016 will #MakeAmericaGreatAgain https:// twitter.com/komonews/statu s/729089544096600064 …";;;#TrumpRally #Trump2016 #MakeAmericaGreatAgain;"729097323377102848";https://twitter.com/SSbridges51/status/729097323377102848
Kent1869;2016-05-07 19:55;0;1;"@TeamTrumpAZ Nice! That will bring the ladies on board for sure!! Love some Brady! #MakeAmericaGreatAgain";;@TeamTrumpAZ;#MakeAmericaGreatAgain;"729097305048133632";https://twitter.com/Kent1869/status/729097305048133632
winegirl73;2016-05-07 19:55;1;0;"Yes #BurnDownTheEstablishment #MakeAmericaGreatAgain #Trump2016 #WomenForTrump https:// twitter.com/thomassowell/s tatus/729041006402867201 …";;;#BurnDownTheEstablishment #MakeAmericaGreatAgain #Trump2016 #WomenForTrump;"729097278548525056";https://twitter.com/winegirl73/status/729097278548525056
ThomasGoaticus;2016-05-07 19:55;3;4;"#PeopleAreTiredOf #CrookedHillary #NeverHillary #MakeAmericaGreatAgain pic.twitter.com/SL54awCHFR";;;#PeopleAreTiredOf #CrookedHillary #NeverHillary #MakeAmericaGreatAgain;"729097236374650881";https://twitter.com/ThomasGoaticus/status/729097236374650881
iNewsUniverse;2016-05-07 19:54;1;1;"Donald Trump Charleston WV Rally #Trump #DonaldTrump #Trump2016 #TrumpTrain #MAGA #MakeAmericaGreatAgain http:// youtu.be/HRmJSm6NP7I?a";;;#Trump #DonaldTrump #Trump2016 #TrumpTrain #MAGA #MakeAmericaGreatAgain;"729097141713403904";https://twitter.com/iNewsUniverse/status/729097141713403904
LucianInflux;2016-05-07 19:54;0;0;"When they say #MakeAmericaGreatAgain is that what they mean? Back to this again? One step forward 2 steps back. https://www. washingtonpost.com/news/rampage/w p/2016/05/07/ivy-league-economist-interrogated-for-doing-math-on-american-airlines-flight/?utm_source=fark&utm_medium=website&utm_content=link …";;;#MakeAmericaGreatAgain;"729097070347329536";https://twitter.com/LucianInflux/status/729097070347329536
PrincessMerican;2016-05-07 19:53;2;5;"#CrookedHillary #MakeAmericaGreatAgain pic.twitter.com/FKG98yFUfL";;;#CrookedHillary #MakeAmericaGreatAgain;"729096964210450432";https://twitter.com/PrincessMerican/status/729096964210450432
ElkaSelzer;2016-05-07 19:53;1;0;"https:// youtu.be/XHplocNJIk8 Donald Trump ralley Spokane WA 5-7-2016 #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"729096930412929024";https://twitter.com/ElkaSelzer/status/729096930412929024
DianeOTurner;2016-05-07 19:52;1;2;"Wow!!! #MakeAmericaGreatAgain https:// twitter.com/WeNeedTrump/st atus/729094682828013572 …";;;#MakeAmericaGreatAgain;"729096712552255488";https://twitter.com/DianeOTurner/status/729096712552255488
TerryLambert201;2016-05-07 19:52;1;0;"Pure conservatives? All I see are pure Patriots who love this country. We're going to win this! Suck it up buttercup #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"729096709536624644";https://twitter.com/TerryLambert201/status/729096709536624644
PopModal;2016-05-07 19:50;0;0;"VIDEO: Why Glenn Beck is imploding - PopModal Videos http:// bit.ly/1SVm8YR #tcot @realDonaldTrump #MakeAmericaGreatAgain #Trump2016";;@realDonaldTrump;#tcot #MakeAmericaGreatAgain #Trump2016;"729096135781003264";https://twitter.com/PopModal/status/729096135781003264
JangoBear;2016-05-07 19:50;2;1;"#TrumpWA Hardest working man in politics because he believes in earning the voters's trust. #MakeAmericaGreatAgain";Chicago, IL;;#TrumpWA #MakeAmericaGreatAgain;"729096124708040706";https://twitter.com/JangoBear/status/729096124708040706
WasatchBay;2016-05-07 19:50;0;0;"Check out 2 HASHTAG TRUMP TRAIN VINYL DECALS http://www. ebay.com/itm/2-HASHTAG- TRUMP-TRAIN-13-X-2-VINYL-DECALS-PRESIDENTIAL-ELECTION-2016-DONALD-/301947725976?roken=cUgayN&soutkn=LZ0e8h … via @eBay #donaldtrump #trump2016 #trumptrain #makeamericagreatagain";;@eBay;#donaldtrump #trump2016 #trumptrain #makeamericagreatagain;"729096028427681792";https://twitter.com/WasatchBay/status/729096028427681792
RealityChick01;2016-05-07 19:50;0;0;"#PeopleAreTiredOf losers. #MakeAmericaGreatAgain #Trump2016";;;#PeopleAreTiredOf #MakeAmericaGreatAgain #Trump2016;"729096006483091456";https://twitter.com/RealityChick01/status/729096006483091456
imfabulous13;2016-05-07 19:50;20;16;"#MakeAmericaGreatAgain I guess.. #TrumpInLynden #TrumpWA pic.twitter.com/xEGLHvgZSq";;;#MakeAmericaGreatAgain #TrumpInLynden #TrumpWA;"729095998493097984";https://twitter.com/imfabulous13/status/729095998493097984
justjoeaz1;2016-05-07 19:49;1;0;"#makeamericagreatagain #Trump2016 Top allies break with Ryan over Trump http://www. politico.com/story/2016/05/ paul-ryan-allies-donald-trump-222919 … At least some one has the balls to stand up";;;#makeamericagreatagain #Trump2016;"729095888203714560";https://twitter.com/justjoeaz1/status/729095888203714560
BOB_EWASHINGTON;2016-05-07 19:49;0;0;"So proud of The Great state of Washington. Great Crowds For @realDonaldTrump Today. Lets #MakeAmericaGreatAgain !!!!";;@realDonaldTrump;#MakeAmericaGreatAgain;"729095882621116416";https://twitter.com/BOB_EWASHINGTON/status/729095882621116416
