username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LVNancy;2016-11-04 18:25;299;254;"America, bring back Jesus and God #MakeAmericaGreatAgain #VoteTrump16 #WikiLeaksPhase3 #podestaemail This is one of those #SpiritCooking pic.twitter.com/kDKtpHrGzR";;;#MakeAmericaGreatAgain #VoteTrump16 #WikiLeaksPhase3 #podestaemail #SpiritCooking;"794666967512662016";https://twitter.com/LVNancy/status/794666967512662016
GlennOstrosky;2016-11-04 19:59;0;1;"@realDonaldTrump #VoteTrump #USA #MakeAmericaGreatAgain @DanScavino :) pic.twitter.com/Szjqp8E6Qq";Edmonton, Alberta;@realDonaldTrump @DanScavino;#VoteTrump #USA #MakeAmericaGreatAgain;"794690619029323780";https://twitter.com/GlennOstrosky/status/794690619029323780
jbevellPTL;2016-11-04 19:59;0;0;"I support Team Trump! Download the official app: http:// DonaldJTrump.com/app #MakeAmericaGreatAgain #TrumpTrain voted for TRUMP today! pic.twitter.com/13XJxqffJH";;;#MakeAmericaGreatAgain #TrumpTrain;"794690509029576704";https://twitter.com/jbevellPTL/status/794690509029576704
FTD_Guido24;2016-11-04 19:58;1;1;"She's going down! #MakeAmericaGreatAgain #DrainTheSwamp https:// twitter.com/foxnews/status /794665659871457280 …";;;#MakeAmericaGreatAgain #DrainTheSwamp;"794690374723837952";https://twitter.com/FTD_Guido24/status/794690374723837952
R_Denaro;2016-11-04 19:58;1;1;"#RememberWhenTrump won the election and won it honor of Ambassador Chris Stevens.. #NeverHillary #HillaryForPrison #MakeAmericaGreatAgain";;;#RememberWhenTrump #NeverHillary #HillaryForPrison #MakeAmericaGreatAgain;"794690289545973764";https://twitter.com/R_Denaro/status/794690289545973764
FiIibuster;2016-11-04 19:57;0;16;"@realDonaldTrump #MakeAmericaGreatAgain";Huntington Beach, CA;@realDonaldTrump;#MakeAmericaGreatAgain;"794690177801154560";https://twitter.com/FiIibuster/status/794690177801154560
CorrosiveRadio;2016-11-04 19:57;0;0;"When logic and reason are no longer on your side it's time to make profanity laced pleas #MakeAmericaGreatAgain https://www. youtube.com/watch?v=NGGACR wYDo8 …";;;#MakeAmericaGreatAgain;"794690099011289088";https://twitter.com/CorrosiveRadio/status/794690099011289088
WhiteGenocideT3;2016-11-04 19:57;1;4;"@realDonaldTrump Team Trump is going to do great! #MakeAmericaGreatAgain";;@realDonaldTrump;#MakeAmericaGreatAgain;"794690097224486912";https://twitter.com/WhiteGenocideT3/status/794690097224486912
PAGOP;2016-11-04 19:57;14;21;". @Reince speaking before a sold out @realDonaldTrump rally in Hershey! #MakeAmericaGreatAgain pic.twitter.com/sIZ2iqxzcP";;@Reince @realDonaldTrump;#MakeAmericaGreatAgain;"794690091444801536";https://twitter.com/PAGOP/status/794690091444801536
PITBULL95;2016-11-04 19:57;0;0;"And IDEAS,to #MakeAmericaGreatAgain https:// twitter.com/SecretsBedard/ status/794675737655734273 …";;;#MakeAmericaGreatAgain;"794690062910976001";https://twitter.com/PITBULL95/status/794690062910976001
