username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheFoundingSon;2016-12-03 20:38;510;488;"I'm glad this madness is about to end. With Trump we'll restore what was condemned and put to oblivion! #MakeAmericaGreatAgain pic.twitter.com/I7z6nzFZZX";;;#MakeAmericaGreatAgain;"805224604633538560";https://twitter.com/TheFoundingSon/status/805224604633538560
MichaelCohen212;2016-12-03 08:25;4085;5330;"I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain . RT if you stand with him as well! #TrumpTrain pic.twitter.com/DCyTgLvK8U";Manhattan, NY;@realDonaldTrump;#PEOTUS #MakeAmericaGreatAgain #TrumpTrain;"805040178385522688";https://twitter.com/MichaelCohen212/status/805040178385522688
EazyMF_E;2016-12-02 19:44;279;1784;"@realDonaldTrump People need to put parties aside. If you love America, you will stand by Donald Trump. #MakeAmericaGreatAgain";;@realDonaldTrump;#MakeAmericaGreatAgain;"804848713373888512";https://twitter.com/EazyMF_E/status/804848713373888512
The_Trump_Train;2016-12-01 19:52;602;1071;"Five actions to restore security and the constitutional rule of law. #LawAndOrder #MakeAmericaGreatAgain pic.twitter.com/eNF2TfKuUF";;;#LawAndOrder #MakeAmericaGreatAgain;"804488375864594432";https://twitter.com/The_Trump_Train/status/804488375864594432
TeamTrump;2016-12-01 15:32;474;1458;". @realDonaldTrump campaigned on a promise of putting #AmericaFirst , and that is exactly what he is doing! #MakeAmericaGreatAgain";;@realDonaldTrump;#AmericaFirst #MakeAmericaGreatAgain;"804422917727522816";https://twitter.com/TeamTrump/status/804422917727522816
The_Trump_Train;2016-12-01 14:56;2383;2785;"RETWEET if you're excited for Obama out and Trump in! #MakeAmericaGreatAgain pic.twitter.com/OEun9GQXu1";;;#MakeAmericaGreatAgain;"804413918194073601";https://twitter.com/The_Trump_Train/status/804413918194073601
The_Trump_Train;2016-12-01 13:49;634;1021;"Looks like Crooked Hillary is a danger to our country's democracy. #MakeAmericaGreatAgain pic.twitter.com/6I3tWqWx2Y";;;#MakeAmericaGreatAgain;"804396929304117249";https://twitter.com/The_Trump_Train/status/804396929304117249
stevenmnuchin1;2016-11-30 11:55;1634;4060;"I am honored to have been nominated by President-Elect @realDonaldTrump to serve as Secretary of the Treasury. #MakeAmericaGreatAgain";;@realDonaldTrump;#MakeAmericaGreatAgain;"804005875686014976";https://twitter.com/stevenmnuchin1/status/804005875686014976
Reince;2016-11-30 11:35;395;1375;"Excited to work w/ @RepTomPrice , @ElaineChao , @stevenmnuchin1 & @OfficialWLRoss in Trump Admin. Lots of work ahead to #MakeAmericaGreatAgain";;@RepTomPrice @ElaineChao @stevenmnuchin1 @OfficialWLRoss;#MakeAmericaGreatAgain;"804000823567118337";https://twitter.com/Reince/status/804000823567118337
DanScavino;2016-11-29 23:06;1350;2711;". @realDonaldTrump news report on March 1, 2016 via @RTV6 , Indianapolis - regarding Carrier & jobs. #MakeAmericaGreatAgain pic.twitter.com/GO7PIeL3N6";;@realDonaldTrump @RTV6;#MakeAmericaGreatAgain;"803812389833543680";https://twitter.com/DanScavino/status/803812389833543680
The_Trump_Train;2016-11-29 19:08;890;2416;"Tucker Carlson's new show on Fox News is very fair and balanced. I recommend everyone tune in! #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"803752423542046720";https://twitter.com/The_Trump_Train/status/803752423542046720
bfraser747;2016-11-29 17:04;478;682;"NEWS ALERT Former VP Dan Quayle said #PresidentElectTrump would #MakeAmericaGreatAgain after their #TrumpTower meeting #TrumpCabinet pic.twitter.com/PSYxBlenTh";;;#PresidentElectTrump #MakeAmericaGreatAgain #TrumpTower #TrumpCabinet;"803721345808756736";https://twitter.com/bfraser747/status/803721345808756736
DanScavino;2016-11-29 16:28;4917;8410;"'HE WOULD STILL LOSE' Never underestimate the #TrumpTrain #MakeAmericaGreatAgain pic.twitter.com/mMEHhJJEZM";;;#TrumpTrain #MakeAmericaGreatAgain;"803712215908024324";https://twitter.com/DanScavino/status/803712215908024324
The_Trump_Train;2016-11-29 16:03;635;1546;"Thoughts and prayers are with the great people of Tennessee. Stay safe! #MakeAmericaGreatAgain pic.twitter.com/qwc3gG80vh";;;#MakeAmericaGreatAgain;"803705897050578946";https://twitter.com/The_Trump_Train/status/803705897050578946
DarrenJJordan;2016-11-29 10:31;393;454;"WHY ISN'T GEORGE SOROS UNDER ARREST & IN JAIL? @realDonaldTrump #AmericaFirst #AlwaysTrump #MakeAmericaGreatAgain #Trump2016 #TeamTrump pic.twitter.com/TcoVsHAshK";;@realDonaldTrump;#AmericaFirst #AlwaysTrump #MakeAmericaGreatAgain #Trump2016 #TeamTrump;"803622470670372864";https://twitter.com/DarrenJJordan/status/803622470670372864
The_Trump_Train;2016-11-27 15:44;1853;2574;"This is why the electoral college is important to our country's democracy! #MakeAmericaGreatAgain pic.twitter.com/g9hFIce7VG";;;#MakeAmericaGreatAgain;"802976330740535296";https://twitter.com/The_Trump_Train/status/802976330740535296
